fixture,family,tier,intended_axis,input_param,swept_unit,swept_value,unit_count,axis_count,storage_read,storage_write,storage_application,merkle_leaf_count,state_diff_count,event,far_call,precompile_call,arith_ptr_op,uma_read,uma_write,keccak256_cycles,ergs_used,pubdata,n_txs,real_l1_batch,bytes,status
900395,div_lead3_2limb,n1300000,arith_div_op,shape=lead3_2limb_n=1300000,divisor_shape,1300000,1300000,1300037,34,24,63,54,11,13,65,27,300,498,639,28,70334690,294,1,1349,246812,"ok (arith_div_op=1,300,037 = n+37 batch-intrinsic, 1:1 with the loop count)"
900396,div_lead1_3limb,n300000,arith_div_op,shape=lead1_3limb_n=300000,divisor_shape,300000,300000,300037,34,24,63,54,11,13,65,27,300,498,639,28,16334582,286,1,1350,246787,"ok (arith_div_op=300,037 = n+37 batch-intrinsic, 1:1 with the loop count)"
900397,div_lead1_3limb,n700000,arith_div_op,shape=lead1_3limb_n=700000,divisor_shape,700000,700000,700037,34,24,63,54,11,13,65,27,300,495,637,28,37934463,286,1,1351,247389,"ok (arith_div_op=700,037 = n+37 batch-intrinsic, 1:1 with the loop count)"
900398,div_lead1_3limb,n1300000,arith_div_op,shape=lead1_3limb_n=1300000,divisor_shape,1300000,1300000,1300037,34,24,63,54,11,13,65,27,300,498,639,28,70334582,286,1,1352,246721,"ok (arith_div_op=1,300,037 = n+37 batch-intrinsic, 1:1 with the loop count)"
900399,div_lead1_4limb,n300000,arith_div_op,shape=lead1_4limb_n=300000,divisor_shape,300000,300000,300037,34,24,63,54,11,13,65,27,300,498,639,28,16334485,278,1,1353,247407,"ok (arith_div_op=300,037 = n+37 batch-intrinsic, 1:1 with the loop count)"
900400,div_lead1_4limb,n700000,arith_div_op,shape=lead1_4limb_n=700000,divisor_shape,700000,700000,700037,34,24,63,54,11,13,65,27,300,498,639,28,37934479,278,1,1354,246915,"ok (arith_div_op=700,037 = n+37 batch-intrinsic, 1:1 with the loop count)"
900401,div_lead1_4limb,n1300000,arith_div_op,shape=lead1_4limb_n=1300000,divisor_shape,1300000,1300000,1300037,34,24,63,54,11,13,65,27,300,498,639,28,70334479,278,1,1355,247229,"ok (arith_div_op=1,300,037 = n+37 batch-intrinsic, 1:1 with the loop count)"
900402,div_small_1limb,n300000,arith_div_op,shape=small_1limb_n=300000,divisor_shape,300000,300000,300037,34,24,63,54,11,13,65,27,300,498,639,28,16334479,278,1,1356,246935,"ok (arith_div_op=300,037 = n+37 batch-intrinsic, 1:1 with the loop count)"
900403,div_small_1limb,n700000,arith_div_op,shape=small_1limb_n=700000,divisor_shape,700000,700000,700037,34,24,63,54,11,13,65,27,300,498,639,28,37934754,299,1,1357,246974,"ok (arith_div_op=700,037 = n+37 batch-intrinsic, 1:1 with the loop count)"
900404,div_small_1limb,n1300000,arith_div_op,shape=small_1limb_n=1300000,divisor_shape,1300000,1300000,1300037,34,24,63,54,11,13,65,27,300,498,639,28,70334434,274,1,1358,246762,"ok (arith_div_op=1,300,037 = n+37 batch-intrinsic, 1:1 with the loop count)"
900405,div_ctrl,n0,arith_div_op,shape=none_n=0,divisor_shape,0,0,37,34,24,63,54,11,13,65,27,300,498,639,28,134264,262,1,1359,247415,"ok (arith_div_op=37 = n+37 batch-intrinsic, 1:1 with the loop count)"
